target,model,task,dataset,mean_mae,mean_mape,mean_rmse,mean_r2,mean_pearson_r,n_batteries,n_metric_rows,performance_score,mean_abs_corr,median_abs_corr,max_abs_corr,top3_abs_corr,strong_feature_fraction,n_features,feature_quality_score,performance_rank
RUL,GRU,RWTH,RWTH,139.2882207764585,0.7204277496705943,159.0944175400774,0.9240604277229308,0.9914732554365133,9,9,0.6619318181818181,0.7746738914812756,0.9225857205724362,0.960118702705342,0.9575677775661608,0.75,16,0.8974534572509262,8
RUL,GRU,NAion2024,NA-ion,27.75523168021124,1.1093903132287577,29.758012452388904,0.42668568917536753,0.9899920994430254,5,5,0.6401515151515151,0.24959343080433505,0.15653504912823335,0.6849663604743345,0.5077693966433549,0.0,16,0.4807763959740081,9
RUL,GRU,Stanford_2,Stanford_2,99.14352257586324,0.8281124894437757,111.37851590658039,0.8096437060796534,0.9827085838159887,36,36,0.6174242424242424,0.5230818465703697,0.6322591983688142,0.8805076138120905,0.7991058035651912,0.3125,16,0.7342317546492172,10
RUL,GRU,MICH_EXP,MICH_EXP,43.38799935371929,1.0849617941529932,50.16734736069796,0.591377378566178,0.9735853100705635,3,3,0.574810606060606,0.12628086351906,0.13282489004930959,0.2381660167277987,0.23669971593553998,0.0,16,0.20038219872746624,11
RUL,GRU,MATR,MATR,115.4974619732179,0.5114693473924706,145.5038157878306,0.648215206505044,0.9665725060319398,33,33,0.5738636363636364,0.4279950893325099,0.4579427450515766,0.85207575881162,0.7744419011376169,0.25,16,0.6848375830939156,12
RUL,GRU,CALB42,CALB,24.855444309350215,2.1724972568274206,28.7023077090939,-0.00065711016571658,,5,5,0.5416666666666666,0.13460890401848252,0.14021436597529705,0.334454832836895,0.2533293979792701,0.0,16,0.2407977116115492,13
RUL,GRU,CALB2024,CALB,33.08340376510857,2.1608354758611092,39.11801012497453,-0.16670638117485953,,5,5,0.48611111111111116,0.13460890401848252,0.14021436597529705,0.334454832836895,0.2533293979792701,0.0,16,0.2407977116115492,14
RUL,GRU,HUST,HUST,208.05692189503358,1.1244766619205284,253.39737690782107,0.7175287117295007,0.9451071433938948,15,15,0.4365530303030303,0.4656472153338205,0.4499080204037939,0.8060191761837487,0.8036060288406301,0.1875,16,0.6917574734527331,15
RUL,GRU,ZN-coin42,ZN-coin,105.0781085127563,0.8813218375462883,124.37068549259473,-1.1627716021028083,0.9236857102946268,20,20,0.3929924242424243,0.4110900299803121,0.4764250502388606,0.6363956764754415,0.567860588081082,0.0,16,0.5384487648456119,16
RUL,GRU,Tongji,Tongji,82.1452937159919,1.7301458134241532,97.20308978355659,-0.2763567004014029,0.7751721890530023,21,21,0.3693181818181818,0.1619690330978379,0.15857728576703564,0.3236319891778558,0.2773052554032158,0.0,16,0.2543020925596365,17
RUL,GRU,CALB,CALB,30.14046465794727,2.835441897150641,34.483744921797104,-0.652563787451012,0.3647032644923816,5,5,0.334280303030303,0.13460890401848252,0.14021436597529705,0.334454832836895,0.2533293979792701,0.0,16,0.2407977116115492,18
RUL,GRU,ZN-coin2024,ZN-coin,154.36997918355533,1.2238124752016,179.6629421982887,-1.8965753291132141,0.8568651052679485,20,20,0.26609848484848486,0.4110900299803121,0.4764250502388606,0.6363956764754415,0.567860588081082,0.0,16,0.5384487648456119,19
RUL,GRU,SNL,SNL,290.4215746476269,2.1864161362109655,358.5353703905886,-0.6046457714475333,0.6756775159619762,10,10,0.22253787878787884,0.3593712087732947,0.4127143623937205,0.5879159688138286,0.5807825348318784,0.0,16,0.5093565708063338,20
RUL,GRU,ZN-coin,ZN-coin,125.85529996569994,5198.784818618714,148.57882431832678,-8.48021680970967,0.9293642836783234,20,20,0.20643939393939395,0.4110900299803121,0.4764250502388606,0.6363956764754415,0.567860588081082,0.0,16,0.5384487648456119,21
RUL,GRU,CALCE,CALCE,478.3618414350294,3.3105696964439866,510.3544937641669,-1.4189041874917558,0.8660884930354136,2,2,0.19412878787878785,0.3094574615243322,0.25471645886777317,0.759975479463217,0.6787922361404579,0.0625,16,0.5827417257093357,22
RUL,GRU,UL_PUR,UL_PUR,111.44927375974366,3.4609479390232942,124.05592117850705,-2.2713089354419074,0.3867748758771318,2,2,0.18939393939393942,0.5721833711038543,0.5919703343342806,0.7397530472332431,0.7222421031555267,0.125,16,0.678059507164208,23
