target,task,dataset,model,mae,mape,rmse,r2,pearson_r,n_batteries,mean_feature_truth_corr,max_feature_truth_corr,top3_feature_truth_corr,n_valid_feature_corr
RUL,ZN-coin2024,ZN-coin,MLP,131.9307549360224,1.3122124677769622,154.6814432834337,-1.268145508019772,0.8326011231681184,20,0.4110900299803121,0.6363956764754415,0.567860588081082,8
RUL,ZN-coin42,ZN-coin,Attention,105.90362744470278,0.8805518929777234,122.29274204550832,-1.171517509713812,0.9567769933820605,20,0.4110900299803121,0.6363956764754415,0.567860588081082,8
RUL,ZN-coin42,ZN-coin,CNN,101.36406702595042,0.751287396381663,117.42069995537152,-1.1033551164743314,0.9572186767088724,20,0.4110900299803121,0.6363956764754415,0.567860588081082,8
RUL,ZN-coin42,ZN-coin,GRU,105.0781085127563,0.8813218375462883,124.37068549259473,-1.1627716021028083,0.9236857102946268,20,0.4110900299803121,0.6363956764754415,0.567860588081082,8
RUL,ZN-coin42,ZN-coin,LSTM,103.52223655278146,0.7802102929396366,122.25332024499014,-0.9204068750286793,0.9448537000667381,20,0.4110900299803121,0.6363956764754415,0.567860588081082,8
RUL,ZN-coin42,ZN-coin,MLP,91.30518327867534,0.7540068859507514,106.2475149824317,-1.0003583709023864,0.9570599720340723,20,0.4110900299803121,0.6363956764754415,0.567860588081082,8
SOH,CALB,CALB,Attention,0.005258043787696081,0.00575588623226594,0.006437079002534279,-30.610076346234575,0.34610231971658434,5,0.7056551938510651,0.8857564621083487,0.8757700117639272,16
SOH,CALB,CALB,CNN,0.007608961827827181,0.00888679448949912,0.00824428385237138,-30.248369941579853,0.4213717621507353,5,0.7056551938510651,0.8857564621083487,0.8757700117639272,16
SOH,CALB,CALB,GRU,0.0062012987437874,0.0068355478723465795,0.00880197818764666,-43.08610181068248,0.3071260542072851,5,0.7056551938510651,0.8857564621083487,0.8757700117639272,16
SOH,CALB,CALB,LSTM,0.006946163188327361,0.007707187696317999,0.00891297315097904,-25.72915769865142,0.3233090263582473,5,0.7056551938510651,0.8857564621083487,0.8757700117639272,16
SOH,CALB,CALB,MLP,0.006232140618141199,0.00690027741699348,0.00862055875223184,-25.478326952711324,0.3083901575893295,5,0.7056551938510651,0.8857564621083487,0.8757700117639272,16
SOH,CALB2024,CALB,Attention,0.00665825959801578,0.0078404648483738,0.01303856130689226,-33.368652454513715,-0.09168951707602374,5,0.7056551938510651,0.8857564621083487,0.8757700117639272,16
SOH,CALB2024,CALB,CNN,0.01394392746705454,0.01550700219028688,0.01726957803871044,-177.85421124828122,0.13438025002663234,5,0.7056551938510651,0.8857564621083487,0.8757700117639272,16
SOH,CALB2024,CALB,GRU,0.007829876468106541,0.009465896390249601,0.014896116739934021,-48.40242807125862,-0.11029600483043982,5,0.7056551938510651,0.8857564621083487,0.8757700117639272,16
SOH,CALB2024,CALB,LSTM,0.009224771094025759,0.01121273711667072,0.01480945398539584,-55.33497566654209,-0.07855845214725495,5,0.7056551938510651,0.8857564621083487,0.8757700117639272,16
SOH,CALB2024,CALB,MLP,0.0085236290546471,0.01025452103276578,0.016300787784524477,-74.24035016667409,-0.10842096381261115,5,0.7056551938510651,0.8857564621083487,0.8757700117639272,16
