target,task,dataset,model,feature,mean_abs_error_sensitivity,mean_signed_error_sensitivity,mean_abs_rel_error_sensitivity,mean_abs_pred_link,n_batteries,mean_rows,feature_truth_spearman,feature_truth_abs_spearman
SOH,HUST,HUST,GRU,current_entropy,0.358045692885169,0.14928585104777384,0.3605740722192538,0.47841583891340606,15,1832.8,0.0003027362289511,0.0003027362289511
SOH,HUST,HUST,GRU,current_kurtosis,0.5159616965947443,-0.4315972853400631,0.5228449126372847,0.6259570006809454,15,1832.8,0.3948244937990487,0.3948244937990487
SOH,HUST,HUST,GRU,current_mean,0.4569880052057619,0.38901144448536906,0.46344497890352737,0.5650433264072824,15,1832.8,-0.3546310959509368,0.3546310959509368
SOH,HUST,HUST,GRU,current_skewness,0.5070413881593537,-0.4224356123804427,0.5135328717158293,0.6166392149294787,15,1832.8,0.3683299773442075,0.3683299773442075
SOH,HUST,HUST,GRU,current_slope,0.4096105746459068,-0.21474485880681235,0.4216687988096239,0.6108362614337557,15,1832.8,0.4747129622564435,0.4747129622564435
SOH,HUST,HUST,GRU,current_std,0.37472396425753407,0.33608775880074215,0.3837020787438811,0.5118202670407929,15,1832.8,-0.4779112576259472,0.4779112576259472
SOH,HUST,HUST,GRU,voltage_entropy,0.5604857602831237,0.5557992858578982,0.5762901937829433,0.83786231912221,15,1832.8,-0.500346580525144,0.500346580525144
SOH,HUST,HUST,GRU,voltage_kurtosis,0.5682051810156968,-0.5682051810156968,0.585766233049506,0.8599431250996932,15,1832.8,0.6337205954107676,0.6337205954107676
SOH,HUST,HUST,GRU,voltage_mean,0.5754314567061541,0.5754314567061541,0.5928955232327022,0.86160898990154,15,1832.8,-0.5877795646684766,0.5877795646684766
SOH,HUST,HUST,GRU,voltage_skewness,0.5770982475473275,-0.5770982475473276,0.594569777541114,0.8602129796491539,15,1832.8,0.6361750152461743,0.6361750152461743
SOH,HUST,HUST,GRU,voltage_slope,0.6080721248963247,0.6080721248963247,0.6282380755727551,0.9264160522783907,15,1832.8,-0.8506072358471848,0.8506072358471848
SOH,HUST,HUST,GRU,voltage_std,0.5445725585373721,0.5406480618425551,0.5610949843412097,0.8363358116496645,15,1832.8,-0.6021181892243671,0.6021181892243671
SOH,HUST,HUST,LSTM,CC_Q,0.6100118611625357,-0.6100118611625357,0.63244152766691,0.923591192914265,15,1832.8,0.8390655861433428,0.8390655861433428
SOH,HUST,HUST,LSTM,CC_charge_time,0.61138440275921,-0.61138440275921,0.6338483115355806,0.9249642068537971,15,1832.8,0.8403434861415402,0.8403434861415402
SOH,HUST,HUST,LSTM,CV_Q,0.417369273422853,-0.17205416014835612,0.4305713683597616,0.5947793258750435,15,1832.8,0.250442035379377,0.250442035379377
SOH,HUST,HUST,LSTM,CV_charge_time,0.42801016189115076,-0.20104440661381862,0.44246919804665463,0.5970889470224793,15,1832.8,0.3629637991864839,0.3629637991864839
SOH,HUST,HUST,LSTM,current_entropy,0.36127301247580146,0.16806782377759838,0.36512378496805703,0.4804468651040036,15,1832.8,0.0003027362289511,0.0003027362289511
SOH,HUST,HUST,LSTM,current_kurtosis,0.4475438460789088,-0.37341992965060716,0.4575812481602127,0.6298605873393461,15,1832.8,0.3948244937990487,0.3948244937990487
SOH,HUST,HUST,LSTM,current_mean,0.4178334191894606,0.3506599865751828,0.4264166385981686,0.5664684204398122,15,1832.8,-0.3546310959509368,0.3546310959509368
SOH,HUST,HUST,LSTM,current_skewness,0.4480249703246834,-0.36667414224331163,0.45735095936122766,0.6194300199822431,15,1832.8,0.3683299773442075,0.3683299773442075
SOH,HUST,HUST,LSTM,current_slope,0.42124177751231967,-0.21400224106585766,0.43600821879158225,0.6008551552331997,15,1832.8,0.4747129622564435,0.4747129622564435
SOH,HUST,HUST,LSTM,current_std,0.38186059064431715,0.31962532900933205,0.39160504761844395,0.5121518485767712,15,1832.8,-0.4779112576259472,0.4779112576259472
SOH,HUST,HUST,LSTM,voltage_entropy,0.5348958690659847,0.5246647819379198,0.5547583399970559,0.8301035894790111,15,1832.8,-0.500346580525144,0.500346580525144
SOH,HUST,HUST,LSTM,voltage_kurtosis,0.5425199595129164,-0.5401685161038638,0.563199515715073,0.8515545304105594,15,1832.8,0.6337205954107676,0.6337205954107676
SOH,HUST,HUST,LSTM,voltage_mean,0.5524524353633679,0.5524524353633677,0.5732300976303948,0.8539154285108329,15,1832.8,-0.5877795646684766,0.5877795646684766
SOH,HUST,HUST,LSTM,voltage_skewness,0.5472165344861772,-0.5472165344861772,0.5681832445398369,0.8520147621419142,15,1832.8,0.6361750152461743,0.6361750152461743
SOH,HUST,HUST,LSTM,voltage_slope,0.6082122610684896,0.6082122610684896,0.6302899655836016,0.9201688777010795,15,1832.8,-0.8506072358471848,0.8506072358471848
SOH,HUST,HUST,LSTM,voltage_std,0.5430794671699104,0.5334605169277248,0.5625751658356091,0.830099817404223,15,1832.8,-0.6021181892243671,0.6021181892243671
SOH,HUST,HUST,MLP,CC_Q,0.6220922294934037,-0.6220922294934037,0.6434553880669942,0.9278496531537217,15,1832.8,0.8390655861433428,0.8390655861433428
SOH,HUST,HUST,MLP,CC_charge_time,0.6226284352245988,-0.6226284352245989,0.6440605159435727,0.9293356305488022,15,1832.8,0.8403434861415402,0.8403434861415402
SOH,HUST,HUST,MLP,CV_Q,0.4341071898953147,-0.1696299611833103,0.44581314818531204,0.6108764430492563,15,1832.8,0.250442035379377,0.250442035379377
SOH,HUST,HUST,MLP,CV_charge_time,0.44069428367091684,-0.19538012902943488,0.45300619229537176,0.6101580834765129,15,1832.8,0.3629637991864839,0.3629637991864839
SOH,HUST,HUST,MLP,current_entropy,0.38295630263587205,0.13002827170367412,0.3868919975037462,0.4950612992527288,15,1832.8,0.0003027362289511,0.0003027362289511
SOH,HUST,HUST,MLP,current_kurtosis,0.4770520805815863,-0.39051011517746276,0.48499818451300386,0.6509785815193155,15,1832.8,0.3948244937990487,0.3948244937990487
SOH,HUST,HUST,MLP,current_mean,0.4392570228870589,0.3676997958265181,0.44612611531441987,0.5844528843411795,15,1832.8,-0.3546310959509368,0.3546310959509368
SOH,HUST,HUST,MLP,current_skewness,0.468237469854779,-0.38664859342655367,0.4756916049357558,0.6406045118298788,15,1832.8,0.3683299773442075,0.3683299773442075
SOH,HUST,HUST,MLP,current_slope,0.4362711365549114,-0.2131292131875629,0.4493033737913817,0.6137088410569205,15,1832.8,0.4747129622564435,0.4747129622564435
SOH,HUST,HUST,MLP,current_std,0.38649795287288996,0.3270281976550354,0.39562022059944124,0.5142750530185777,15,1832.8,-0.4779112576259472,0.4779112576259472
SOH,HUST,HUST,MLP,voltage_entropy,0.5759995172832869,0.5613188441128505,0.5918522832614125,0.8455145547719969,15,1832.8,-0.500346580525144,0.500346580525144
SOH,HUST,HUST,MLP,voltage_kurtosis,0.5816796293096427,-0.5746225972727432,0.5985914645570418,0.8648026017393597,15,1832.8,0.6337205954107676,0.6337205954107676
SOH,HUST,HUST,MLP,voltage_mean,0.5834129699648783,0.579490403467961,0.6005940699222664,0.8651361469309224,15,1832.8,-0.5877795646684766,0.5877795646684766
SOH,HUST,HUST,MLP,voltage_skewness,0.5874476885406904,-0.5874476885406904,0.604519562305235,0.8631069767105515,15,1832.8,0.6361750152461743,0.6361750152461743
SOH,HUST,HUST,MLP,voltage_slope,0.6229823525672507,0.6229823525672507,0.643892560860381,0.9296235269907568,15,1832.8,-0.8506072358471848,0.8506072358471848
SOH,HUST,HUST,MLP,voltage_std,0.558694503511276,0.5447324042142359,0.5759902432294756,0.8441582541339111,15,1832.8,-0.6021181892243671,0.6021181892243671
SOH,ISU_ILCC,ISU_ILCC,Attention,CC_Q,0.34476240166276256,0.03586934616579281,0.475526989447518,0.9589109530506313,48,4260.645833333333,0.7702033487864858,0.7702033487864858
SOH,ISU_ILCC,ISU_ILCC,Attention,CC_charge_time,0.3466970450841731,0.0451919927323605,0.46679590879437455,0.9594594146014407,48,4260.645833333333,0.7366963882539479,0.7366963882539479
SOH,ISU_ILCC,ISU_ILCC,Attention,CV_Q,0.286266046140295,0.1388902472379319,0.3400023004667479,0.5980261986872876,48,4260.645833333333,0.467390000692446,0.467390000692446
SOH,ISU_ILCC,ISU_ILCC,Attention,CV_charge_time,0.2885667892699036,0.1557712549948073,0.35555597549500084,0.608651343160548,48,4260.645833333333,0.4469883944792825,0.4469883944792825
SOH,ISU_ILCC,ISU_ILCC,Attention,current_entropy,0.28804117163775833,-0.015525006651931154,0.3713408326978412,0.6025257490564904,48,4260.645833333333,0.3971597103380018,0.3971597103380018
SOH,ISU_ILCC,ISU_ILCC,Attention,current_kurtosis,0.2691899958177715,-0.029147999910380296,0.3460177197272931,0.5560976865284867,48,4260.645833333333,-0.4698121400257696,0.4698121400257696
SOH,ISU_ILCC,ISU_ILCC,Attention,current_mean,0.31197438599533484,0.030632193666743354,0.3714109206676204,0.6290207669083386,48,4260.645833333333,0.3000911581988783,0.3000911581988783
SOH,ISU_ILCC,ISU_ILCC,Attention,current_skewness,0.28001746980872255,0.0007434215326425536,0.3727518181598237,0.5934683070748642,48,4260.645833333333,-0.2910096472751928,0.2910096472751928
SOH,ISU_ILCC,ISU_ILCC,Attention,current_slope,0.2546054841003768,0.15224473380594913,0.35018249181332345,0.5568928614543073,48,4260.645833333333,0.1240139270530329,0.1240139270530329
SOH,ISU_ILCC,ISU_ILCC,Attention,current_std,0.28173054071356596,-0.006098636556099356,0.3492649251964757,0.6106878339405589,48,4260.645833333333,0.1828763419440215,0.1828763419440215
