target,task,model,experiment,battery_name,mae,mape,mse,rmse,max_ae,bias,r2,pearson_r,endpoint_ae,endpoint_ape
SOH,MIX_large,LSTM,experiment1,RWTH_038,0.0096668075246626,0.0157506685964918,0.0001509211758477,0.0122849979995028,0.1434335708618164,0.0042046877705395,0.9961544454234582,0.9987716731000156,0.0035582184791564,0.0119722218461913
SOH,MIX_large,LSTM,experiment1,RWTH_043,0.0121591279877836,0.0222053712009052,0.0002424665630523,0.0155713378696986,0.1049440205097198,0.007002762313883,0.9939643090569872,0.9976539576069596,0.012947529554367,0.0447294137487502
SOH,MIX_large,LSTM,experiment1,SDU_Battery_15,0.0278189328750245,0.0302214456784853,0.0008620817698623,0.0293612290250651,0.0519571900367736,-0.0277805011020178,0.7838646789957061,0.9923081505324916,0.0459509491920471,0.0593808647374195
SOH,MIX_large,LSTM,experiment1,SDU_Battery_17,0.0210183283177817,0.0207832809036758,0.0005833565023359,0.0241527742161414,0.0686420798301696,0.0126358334611101,0.8667785562798891,0.9898098458087052,0.0686420798301696,0.0850082563247433
SOH,MIX_large,LSTM,experiment1,SDU_Battery_19,0.0120284671966846,0.0124508009014014,0.0003469818730837,0.0186274494519168,0.0742254853248596,-0.0011381492591821,0.923396526463764,0.9863148740838484,0.0734344124794006,0.0914963380299262
SOH,MIX_large,LSTM,experiment1,SDU_Battery_24,0.0249064921521816,0.0299032322230108,0.0009943386011689,0.0315331349721036,0.0843864679336547,0.024646798634475,0.8450347680044179,0.9917653240830449,0.0843864679336547,0.1159780755996798
SOH,MIX_large,LSTM,experiment1,SDU_Battery_29,0.0295322911316896,0.0362066404499108,0.0015385164768563,0.039223927351252,0.1050886511802673,0.029216112163062,0.7824746989156897,0.9874058852827008,0.1050886511802673,0.1469628059097703
SOH,MIX_large,LSTM,experiment1,SDU_Battery_32,0.0121013470112331,0.0149776744688318,0.0003188917805113,0.0178575412784436,0.079158067703247,0.0084714156294625,0.9637213728859244,0.988274518760231,0.0323633551597595,0.0468721148265682
SOH,MIX_large,LSTM,experiment1,SDU_Battery_35,0.0175384569626588,0.0221434481969675,0.0006572868828727,0.0256376068086064,0.090167224407196,0.0167056990739626,0.9203090920171036,0.9861356069370032,0.0439430475234985,0.061798851002506
SOH,MIX_large,LSTM,experiment1,SDU_Battery_42,0.0219176097920066,0.0280129542659332,0.0008794398187634,0.0296553505924893,0.0664789676666259,-0.0203452423999184,0.9013894861760656,0.9935904946179164,0.0602453351020813,0.0871292080669097
SOH,MIX_large,LSTM,experiment1,SDU_Battery_46,0.0113117457211682,0.0139612554184593,0.0003334522478206,0.0182606749004695,0.0894274711608886,0.0064519701947953,0.9601043608702488,0.9825288520516258,0.0013802051544189,0.0021690588199368
SOH,MIX_large,LSTM,experiment1,SDU_Battery_51,0.0225752248503215,0.0291686092039781,0.0009290788536608,0.0304807948331545,0.1309018731117248,0.0208665916662229,0.9066821420971808,0.9783492157446276,0.0205473899841308,0.0331075092238749
SOH,MIX_large,LSTM,experiment1,SDU_Battery_58,0.0534855605740296,0.0584940675515199,0.0033338759667721,0.0577397260711561,0.0975913405418396,-0.0534855605740296,0.6697804242336828,0.993376992595253,0.0975913405418396,0.1291755236078458
SOH,MIX_large,LSTM,experiment1,SDU_Battery_71,0.015648229177608,0.0196979600867344,0.0004178634322195,0.0204417081531742,0.055909514427185,0.0073268898697786,0.9616812185941858,0.9854820976219376,0.0099151134490966,0.0155913942716894
SOH,MIX_large,LSTM,experiment1,SDU_Battery_73,0.0336169926796929,0.036118318428656,0.0012112022330519,0.0348023308565957,0.0935452580451965,-0.0336169926796929,0.4613691066054918,0.9886868288168392,0.0307210683822631,0.0384125623702754
SOH,MIX_large,LSTM,experiment1,SDU_Battery_75,0.0304795856251142,0.0329643070393157,0.0009737753375932,0.0312053735371533,0.049572467803955,-0.0302780143253466,0.6834072957357717,0.9924072584521269,0.0191214084625244,0.0239210032140837
SOH,MIX_large,LSTM,experiment1,SDU_Battery_77,0.0106059627817903,0.0113129893304619,0.0001487780142465,0.0121974593357216,0.0374147891998291,-0.0091199480852826,0.9572790174796476,0.996424314362657,0.0099524855613708,0.0131068980472115
SOH,MIX_large,LSTM,experiment1,SDU_Battery_81,0.0182251675002821,0.0195148468209694,0.000381288077972,0.0195265992423676,0.0437595248222351,-0.0179818084918581,0.8953741936152368,0.9961426787004004,0.0021908283233642,0.0028958719878984
SOH,MIX_large,LSTM,experiment1,SDU_Battery_84,0.0149877091318788,0.0182859210162818,0.0004957912018188,0.0222663693003328,0.1034753322601318,0.0134791287947708,0.9332107933883051,0.9799093419969696,0.0215159058570861,0.0326905621224101
SOH,MIX_large,LSTM,experiment1,SNL_18650_LFP_25C_0-100_0.5-3C_b,0.0250797798808486,0.0298263064983904,0.000931934249288,0.0305275981578639,0.2363510727882385,-0.0106132640620278,0.7531943069700047,0.8949034017294667,0.130466341972351,0.1696370916866849
SOH,MIX_large,LSTM,experiment1,SNL_18650_LFP_35C_0-100_0.5-1C_c,0.0326287264348788,0.0378832532868414,0.0015282740131449,0.0390931453472983,0.1480633020401001,-0.0136948555155045,-0.5313314027321119,0.6893128655942155,0.0292211174964904,0.0357146993989063
SOH,MIX_large,LSTM,experiment1,SNL_18650_LFP_35C_0-100_0.5-2C_a,0.0465203412650037,0.0536896630201003,0.0030750470621772,0.0554531068757849,0.221510112285614,-0.0396240443238578,-0.8730018096093866,0.7449609448908492,0.0593349337577819,0.0731708822998241
SOH,MIX_large,LSTM,experiment1,SNL_18650_NCA_15C_0-100_0.5-2C_b,0.0270898476699177,0.0344641640616729,0.0016249178428476,0.040310269694554,0.4938308000564575,-0.0252475970405705,0.8846321068859816,0.965460581295867,0.0328081250190734,0.0601830566286821
SOH,MIX_large,LSTM,experiment1,SNL_18650_NCA_25C_0-100_0.5-1C_c,0.0380882519186684,0.0470811066444698,0.0017177942782174,0.0414462818382714,0.0714392066001892,0.0374069466216354,0.5949295721477338,0.993010589671036,0.0409130454063415,0.0533938592398515
SOH,MIX_large,LSTM,experiment1,SNL_18650_NCA_25C_0-100_0.5-2C_a,0.0381501083458956,0.0503913225622768,0.0016769485429909,0.0409505621816229,0.0989755392074585,0.0376800251674409,0.8302163604695674,0.986896483540582,0.0989755392074585,0.1299637728998249
SOH,MIX_large,LSTM,experiment1,SNL_18650_NMC_15C_0-100_0.5-1C_a,0.0672806048253823,0.0931826847187283,0.0114515944096397,0.1070121227228005,0.310629665851593,0.0218660410849439,-0.2924993094795296,0.2296710089994507,0.185198426246643,0.307147263158311
SOH,MIX_large,LSTM,experiment1,SNL_18650_NMC_25C_0-100_0.5-3C_c,0.0108734816739757,0.0131708914694649,0.0001800898020364,0.013419754171981,0.0380964279174804,0.0061633725220972,0.8481984354204826,0.9897963930194896,0.0176278948783874,0.0221178106383597
SOH,MIX_large,LSTM,experiment1,SNL_18650_NMC_35C_0-100_0.5-1C_b,0.0112969711915833,0.0138432247078951,0.0004126770990294,0.0203144554204491,0.4661304056644439,0.009913850793705,0.7199497118501645,0.8944778896718805,0.029720664024353,0.0380546265490529
SOH,MIX_large,LSTM,experiment1,SNL_18650_NMC_35C_0-100_0.5-1C_c,0.0100864570611601,0.0122986201154803,0.0001216797867159,0.0110308561189034,0.0359331369400024,0.0100166953293381,0.911112403595808,0.996389814702633,0.0243714451789855,0.0308890316345052
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_108,0.0142981410886232,0.0178564333466344,0.0006098836097837,0.0246958217069972,0.2314147651195526,-0.0087609540097988,0.9766807875989036,0.9903596834676512,0.2314147651195526,
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_110,0.0081826474076958,0.0241439921655192,0.0003807513527918,0.0195128509652443,0.3408815264701843,0.0038262182083763,0.9949269988849112,0.9978988618746986,0.3408815264701843,
SOH,MIX_large,LSTM,experiment1,Stanford_Nova_Regular_129,0.0095933704432987,0.0152675031663799,0.0003099659975067,0.0176058512292568,0.3166633546352386,0.0049281121151787,0.9935651014106632,0.9971600163155908,0.1390532255172729,
